year,category,prize,motivation,price_share,laureate_id,laureate_type,full_name,birth_date,birth_city,birth_country,gender,organization_name,organization_city,organization_country,death_date,death_city,death_country
2008,Literature,The Nobel Prize in Literature,"author of new departures, poetic adventure and sensual ecstasy, explorer of a humanity beyond and below the reigning civilization",1,832,Individual,Jean-Marie Gustave Le Clézio,1940-04-13,Nice,France,male,,,,,,
2008,Peace,The Nobel Peace Prize,"for his important efforts, on several continents and over more than three decades, to resolve international conflicts",1,833,Individual,Martti Ahtisaari,1937-06-23,Viipuri,Finland,male,,,,,,
2008,Physics,The Nobel Prize in Physics,for the discovery of the origin of the broken symmetry which predicts the existence of at least three families of quarks in nature,1/4,827,Individual,Makoto Kobayashi,1944-04-07,Nagoya,Japan,male,High Energy Accelerator Research Organization (KEK),Tsukuba,Japan,,,
2008,Physics,The Nobel Prize in Physics,for the discovery of the origin of the broken symmetry which predicts the existence of at least three families of quarks in nature,1/4,828,Individual,Toshihide Maskawa,1940-02-07,Nagoya,Japan,male,Kyoto Sangyo University,Kyoto,Japan,2021-07-23,Kyoto,Japan
2008,Physics,The Nobel Prize in Physics,for the discovery of the mechanism of spontaneous broken symmetry in subatomic physics,1/2,826,Individual,Yoichiro Nambu,1921-01-18,Tokyo,Japan,male,"Enrico Fermi Institute, University of Chicago","Chicago, IL",USA,2015-07-05,Osaka,Japan
2008,Physiology or Medicine,The Nobel Prize in Physiology or Medicine,for their discovery of human immunodeficiency virus,1/4,824,Individual,Françoise Barré-Sinoussi,1947-07-30,Paris,France,female,"Regulation of Retroviral Infections Unit, Virology Department, Institut Pasteur",Paris,France,,,
2008,Physiology or Medicine,The Nobel Prize in Physiology or Medicine,for his discovery of human papilloma viruses causing cervical cancer,1/2,823,Individual,Harald zur Hausen,1936-03-11,Gelsenkirchen,Germany,male,German Cancer Research Center,Heidelberg,Germany,,,
2008,Physiology or Medicine,The Nobel Prize in Physiology or Medicine,for their discovery of human immunodeficiency virus,1/4,825,Individual,Luc Montagnier,1932-08-18,Chabris,France,male,World Foundation for AIDS Research and Prevention,Paris,France,2022-02-08,Paris,France
2009,Chemistry,The Nobel Prize in Chemistry,for studies of the structure and function of the ribosome,1/3,843,Individual,Ada E. Yonath,1939-06-22,Jerusalem,British Mandate of Palestine,female,Weizmann Institute of Science,Rehovot,Israel,,,
2009,Chemistry,The Nobel Prize in Chemistry,for studies of the structure and function of the ribosome,1/3,842,Individual,Thomas A. Steitz,1940-08-23,"Milwaukee, WI",USA,male,Yale University,"New Haven, CT",USA,2018-08-23,"Branford, CT",USA
2009,Chemistry,The Nobel Prize in Chemistry,for studies of the structure and function of the ribosome,1/3,841,Individual,Venkatraman Ramakrishnan,1952-01-01,"Chidambaram, Tamil Nadu",India,male,MRC Laboratory of Molecular Biology,Cambridge,United Kingdom,,,
2009,Economic Sciences,The Sveriges Riksbank Prize in Economic Sciences in Memory of Alfred Nobel,"for her analysis of economic governance, especially the commons",1/2,846,Individual,Elinor Ostrom,1933-08-07,"Los Angeles, CA",USA,female,Indiana University,"Bloomington, IN",USA,2012-06-12,"Bloomington, IN",USA
2009,Economic Sciences,The Sveriges Riksbank Prize in Economic Sciences in Memory of Alfred Nobel,"for his analysis of economic governance, especially the boundaries of the firm",1/2,847,Individual,Oliver E. Williamson,1932-09-27,"Superior, WI",USA,male,University of California,"Berkeley, CA",USA,,,
2009,Literature,The Nobel Prize in Literature,"who, with the concentration of poetry and the frankness of prose, depicts the landscape of the dispossessed",1,844,Individual,Herta Müller,1953-08-17,"Nitzkydorf, Banat",Romania,female,,,,,,
2009,Peace,The Nobel Peace Prize,for his extraordinary efforts to strengthen international diplomacy and cooperation between peoples,1,845,Individual,Barack Hussein Obama,1961-08-04,"Honolulu, HI",USA,male,,,,,,
2009,Physics,The Nobel Prize in Physics,for groundbreaking achievements concerning the transmission of light in fibers for optical communication,1/2,838,Individual,Charles Kuen Kao,1933-11-04,Shanghai,China,male,Standard Telecommunication Laboratories,Harlow,United Kingdom,2018-09-23,Hong Kong,
2009,Physics,The Nobel Prize in Physics,for the invention of an imaging semiconductor circuit - the CCD sensor,1/4,840,Individual,George E. Smith,1930-05-10,"White Plains, NY",USA,male,Bell Laboratories,"Murray Hill, NJ",USA,,,
2009,Physics,The Nobel Prize in Physics,for the invention of an imaging semiconductor circuit - the CCD sensor,1/4,839,Individual,Willard S. Boyle,1924-08-19,"Amherst, NS",Canada,male,Bell Laboratories,"Murray Hill, NJ",USA,2011-05-07,"Truro, NS",Canada
2009,Physiology or Medicine,The Nobel Prize in Physiology or Medicine,for the discovery of how chromosomes are protected by telomeres and the enzyme telomerase,1/3,836,Individual,Carol W. Greider,1961-04-15,"San Diego, CA",USA,female,Johns Hopkins University School of Medicine,"Baltimore, MD",USA,,,
2009,Physiology or Medicine,The Nobel Prize in Physiology or Medicine,for the discovery of how chromosomes are protected by telomeres and the enzyme telomerase,1/3,835,Individual,Elizabeth H. Blackburn,1948-11-26,"Hobart, Tasmania",Australia,female,University of California,"San Francisco, CA",USA,,,
2009,Physiology or Medicine,The Nobel Prize in Physiology or Medicine,for the discovery of how chromosomes are protected by telomeres and the enzyme telomerase,1/3,837,Individual,Jack W. Szostak,1952-11-09,London,United Kingdom,male,Harvard Medical School,"Boston, MA",USA,,,
2010,Chemistry,The Nobel Prize in Chemistry,for palladium-catalyzed cross couplings in organic synthesis,1/3,853,Individual,Akira Suzuki,1930-09-12,Mukawa,Japan,male,Hokkaido University,Sapporo,Japan,,,
2010,Chemistry,The Nobel Prize in Chemistry,for palladium-catalyzed cross couplings in organic synthesis,1/3,852,Individual,Ei-ichi Negishi,1935-07-14,Changchun,China,male,Purdue University,"West Lafayette, IN",USA,2021-06-06,"Indianapolis, IN",USA
2010,Chemistry,The Nobel Prize in Chemistry,for palladium-catalyzed cross couplings in organic synthesis,1/3,851,Individual,Richard F. Heck,1931-08-15,"Springfield, MA",USA,male,University of Delaware,,USA,2015-10-09,Manila,Philippines
2010,Economic Sciences,The Sveriges Riksbank Prize in Economic Sciences in Memory of Alfred Nobel,for their analysis of markets with search frictions,1/3,858,Individual,Christopher A. Pissarides,1948-02-20,Nicosia,Cyprus,male,London School of Economics and Political Science,London,United Kingdom,,,
2010,Economic Sciences,The Sveriges Riksbank Prize in Economic Sciences in Memory of Alfred Nobel,for their analysis of markets with search frictions,1/3,857,Individual,Dale T. Mortensen,1939-02-02,"Enterprise, OR",USA,male,Northwestern University,"Evanston, IL",USA,2014-01-09,"Wilmette, IL",USA
2010,Economic Sciences,The Sveriges Riksbank Prize in Economic Sciences in Memory of Alfred Nobel,for their analysis of markets with search frictions,1/3,856,Individual,Peter A. Diamond,1940-04-29,"New York, NY",USA,male,Massachusetts Institute of Technology (MIT),"Cambridge, MA",USA,,,
2010,Literature,The Nobel Prize in Literature,"for his cartography of structures of power and his trenchant images of the individual's resistance, revolt, and defeat",1,854,Individual,Mario Vargas Llosa,1936-03-28,Arequipa,Peru,male,,,,,,
2010,Peace,The Nobel Peace Prize,for his long and non-violent struggle for fundamental human rights in China,1,855,Individual,Liu Xiaobo,1955-12-28,Changchun,China,male,,,,2017-07-13,Shenyang,China
2010,Physics,The Nobel Prize in Physics,for groundbreaking experiments regarding the two-dimensional material graphene,1/2,849,Individual,Andre Geim,1958-10-21,Sochi,Russia,male,University of Manchester,Manchester,United Kingdom,,,
2010,Physics,The Nobel Prize in Physics,for groundbreaking experiments regarding the two-dimensional material graphene,1/2,850,Individual,Konstantin Novoselov,1974-08-23,Nizhny Tagil,Russia,male,University of Manchester,Manchester,United Kingdom,,,
2010,Physiology or Medicine,The Nobel Prize in Physiology or Medicine,for the development of in vitro fertilization,1,848,Individual,Robert G. Edwards,1925-09-27,Batley,United Kingdom,male,University of Cambridge,Cambridge,United Kingdom,2013-04-10,Cambridge,United Kingdom
2011,Chemistry,The Nobel Prize in Chemistry,for the discovery of quasicrystals,1,867,Individual,Dan Shechtman,1941-01-24,Tel Aviv,British Mandate of Palestine,male,Technion - Israel Institute of Technology,Haifa,Israel,,,
2011,Economic Sciences,The Sveriges Riksbank Prize in Economic Sciences in Memory of Alfred Nobel,for their empirical research on cause and effect in the macroeconomy,1/2,873,Individual,Christopher A. Sims,1942-10-21,"Washington, D.C.",USA,male,Princeton University,"Princeton, NJ",USA,,,
2011,Economic Sciences,The Sveriges Riksbank Prize in Economic Sciences in Memory of Alfred Nobel,for their empirical research on cause and effect in the macroeconomy,1/2,872,Individual,Thomas J. Sargent,1943-07-19,"Pasadena, CA",USA,male,New York University,"New York, NY",USA,,,
2011,Literature,The Nobel Prize in Literature,"because, through his condensed, translucent images, he gives us fresh access to reality",1,868,Individual,Tomas Tranströmer,1931-04-15,Stockholm,Sweden,male,,,,2015-03-26,Stockholm,Sweden
2011,Peace,The Nobel Peace Prize,for their non-violent struggle for the safety of women and for women's rights to full participation in peace-building work,1/3,869,Individual,Ellen Johnson Sirleaf,1938-10-29,Monrovia,Liberia,female,,,,,,
2011,Peace,The Nobel Peace Prize,for their non-violent struggle for the safety of women and for women's rights to full participation in peace-building work,1/3,870,Individual,Leymah Gbowee,1972-02-01,Monrovia,Liberia,female,,,,,,
2011,Peace,The Nobel Peace Prize,for their non-violent struggle for the safety of women and for women's rights to full participation in peace-building work,1/3,871,Individual,Tawakkol Karman,1979-02-07,Ta'izz,Yemen,female,,,,,,
2011,Physics,The Nobel Prize in Physics,for the discovery of the accelerating expansion of the Universe through observations of distant supernovae,1/4,866,Individual,Adam G. Riess,1969-12-16,"Washington, D.C.",USA,male,Johns Hopkins University,"Baltimore, MD",USA,,,
2011,Physics,The Nobel Prize in Physics,for the discovery of the accelerating expansion of the Universe through observations of distant supernovae,1/4,865,Individual,Brian P. Schmidt,1967-02-24,"Missoula, MT",USA,male,Australian National University,Weston Creek,Australia,,,
2011,Physics,The Nobel Prize in Physics,for the discovery of the accelerating expansion of the Universe through observations of distant supernovae,1/2,864,Individual,Saul Perlmutter,1959-01-01,"Champaign-Urbana, IL",USA,male,Lawrence Berkeley National Laboratory,"Berkeley, CA",USA,,,
2011,Physiology or Medicine,The Nobel Prize in Physiology or Medicine,for their discoveries concerning the activation of innate immunity,1/4,861,Individual,Bruce A. Beutler,1957-12-29,"Chicago, IL",USA,male,University of Texas Southwestern Medical Center at Dallas,"Dallas, TX",USA,,,
2011,Physiology or Medicine,The Nobel Prize in Physiology or Medicine,for their discoveries concerning the activation of innate immunity,1/4,862,Individual,Jules A. Hoffmann,1941-08-02,Echternach,Luxembourg,male,University of Strasbourg,Strasbourg,France,,,
2011,Physiology or Medicine,The Nobel Prize in Physiology or Medicine,for his discovery of the dendritic cell and its role in adaptive immunity,1/2,863,Individual,Ralph M. Steinman,1943-01-14,Montreal,Canada,male,Rockefeller University,"New York, NY",USA,2011-09-30,"New York, NY",USA
2012,Chemistry,The Nobel Prize in Chemistry,for studies of G-protein-coupled receptors,1/2,879,Individual,Brian K. Kobilka,1955-05-30,"Little Falls, MN",USA,male,Stanford University School of Medicine,"Stanford, CA",USA,,,
2012,Chemistry,The Nobel Prize in Chemistry,for studies of G-protein-coupled receptors,1/2,878,Individual,Robert J. Lefkowitz,1943-04-15,"New York, NY",USA,male,Howard Hughes Medical Institute,,USA,,,
2012,Economic Sciences,The Sveriges Riksbank Prize in Economic Sciences in Memory of Alfred Nobel,for the theory of stable allocations and the practice of market design,1/2,882,Individual,Alvin E. Roth,1951-12-18,"New York, NY",USA,male,Harvard University,"Cambridge, MA",USA,,,
2012,Economic Sciences,The Sveriges Riksbank Prize in Economic Sciences in Memory of Alfred Nobel,for the theory of stable allocations and the practice of market design,1/2,883,Individual,Lloyd S. Shapley,1923-06-02,"Cambridge, MA",USA,male,University of California,"Los Angeles, CA",USA,2016-03-12,"Tucson, AZ",USA
2012,Literature,The Nobel Prize in Literature,"who with hallucinatory realism merges folk tales, history and the contemporary",1,880,Individual,Mo Yan,1955-02-02,Gaomi,China,male,,,,,,
2012,Peace,The Nobel Peace Prize,"for over six decades contributed to the advancement of peace and reconciliation, democracy and human rights in Europe",1,881,Organization,European Union,1952-01-01,,,,,,,,,
2012,Physics,The Nobel Prize in Physics,for ground-breaking experimental methods that enable measuring and manipulation of individual quantum systems,1/2,877,Individual,David J. Wineland,1944-02-24,"Milwaukee, WI",USA,male,National Institute of Standards and Technology,"Boulder, CO",USA,,,
2012,Physics,The Nobel Prize in Physics,for ground-breaking experimental methods that enable measuring and manipulation of individual quantum systems,1/2,876,Individual,Serge Haroche,1944-09-11,Casablanca,Morocco,male,Collège de France,Paris,France,,,
2012,Physiology or Medicine,The Nobel Prize in Physiology or Medicine,for the discovery that mature cells can be reprogrammed to become pluripotent,1/2,875,Individual,Shinya Yamanaka,1962-09-04,Osaka,Japan,male,Kyoto University,Kyoto,Japan,,,
2012,Physiology or Medicine,The Nobel Prize in Physiology or Medicine,for the discovery that mature cells can be reprogrammed to become pluripotent,1/2,874,Individual,Sir John B. Gurdon,1933-10-02,Dippenhall,United Kingdom,male,Gurdon Institute,Cambridge,United Kingdom,,,
2013,Chemistry,The Nobel Prize in Chemistry,for the development of multiscale models for complex chemical systems,1/3,891,Individual,Arieh Warshel,1940-11-20,Kibbutz Sde-Nahum,British Mandate of Palestine,male,University of Southern California,"Los Angeles, CA",USA,,,
2013,Chemistry,The Nobel Prize in Chemistry,for the development of multiscale models for complex chemical systems,1/3,889,Individual,Martin Karplus,1930-03-15,Vienna,Austria,male,Université de Strasbourg,Strasbourg,France,,,
2013,Chemistry,The Nobel Prize in Chemistry,for the development of multiscale models for complex chemical systems,1/3,890,Individual,Michael Levitt,1947-05-09,Pretoria,South Africa,male,Stanford University School of Medicine,"Stanford, CA",USA,,,
2013,Economic Sciences,The Sveriges Riksbank Prize in Economic Sciences in Memory of Alfred Nobel,for their empirical analysis of asset prices,1/3,894,Individual,Eugene F. Fama,1939-02-14,"Boston, MA",USA,male,University of Chicago,"Chicago, IL",USA,,,
2013,Economic Sciences,The Sveriges Riksbank Prize in Economic Sciences in Memory of Alfred Nobel,for their empirical analysis of asset prices,1/3,895,Individual,Lars Peter Hansen,1952-10-26,"Urbana, IL",USA,male,University of Chicago,"Chicago, IL",USA,,,
2013,Economic Sciences,The Sveriges Riksbank Prize in Economic Sciences in Memory of Alfred Nobel,for their empirical analysis of asset prices,1/3,896,Individual,Robert J. Shiller,1946-03-29,"Detroit, MI",USA,male,Yale University,"New Haven, CT",USA,,,
2013,Literature,The Nobel Prize in Literature,master of the contemporary short story,1,892,Individual,Alice Munro,1931-07-10,Wingham,Canada,female,,,,,,
2013,Peace,The Nobel Peace Prize,for its extensive efforts to eliminate chemical weapons,1,893,Organization,Organisation for the Prohibition of Chemical Weapons,1997-01-01,,,,,,,,,
2013,Physics,The Nobel Prize in Physics,"for the theoretical discovery of a mechanism that contributes to our understanding of the origin of mass of subatomic particles, and which recently was confirmed through the discovery of the predicted fundamental particle, by the ATLAS and CMS experiments at CERN's Large Hadron Collider",1/2,887,Individual,François Englert,1932-11-06,Etterbeek,Belgium,male,Université Libre de Bruxelles,Brussels,Belgium,,,
2013,Physics,The Nobel Prize in Physics,"for the theoretical discovery of a mechanism that contributes to our understanding of the origin of mass of subatomic particles, and which recently was confirmed through the discovery of the predicted fundamental particle, by the ATLAS and CMS experiments at CERN's Large Hadron Collider",1/2,888,Individual,Peter W. Higgs,1929-05-29,Newcastle upon Tyne,United Kingdom,male,University of Edinburgh,Edinburgh,United Kingdom,,,
2013,Physiology or Medicine,The Nobel Prize in Physiology or Medicine,"for their discoveries of machinery regulating vesicle traffic, a major transport system in our cells",1/3,884,Individual,James E. Rothman,1950-11-03,"Haverhill, MA",USA,male,Yale University,"New Haven, CT",USA,,,
2013,Physiology or Medicine,The Nobel Prize in Physiology or Medicine,"for their discoveries of machinery regulating vesicle traffic, a major transport system in our cells",1/3,885,Individual,Randy W. Schekman,1948-12-30,"St. Paul, MN",USA,male,University of California,"Berkeley, CA",USA,,,
2013,Physiology or Medicine,The Nobel Prize in Physiology or Medicine,"for their discoveries of machinery regulating vesicle traffic, a major transport system in our cells",1/3,886,Individual,Thomas C. Südhof,1955-12-22,Göttingen,Germany,male,Stanford University,"Stanford, CA",USA,,,
2014,Chemistry,The Nobel Prize in Chemistry,for the development of super-resolved fluorescence microscopy,1/3,909,Individual,Eric Betzig,1960-01-13,"Ann Arbor, MI",USA,male,"Janelia Research Campus, Howard Hughes Medical Institute","Ashburn, VA",USA,,,
2014,Chemistry,The Nobel Prize in Chemistry,for the development of super-resolved fluorescence microscopy,1/3,910,Individual,Stefan W. Hell,1962-12-23,Arad,Romania,male,Max Planck Institute for Biophysical Chemistry,Göttingen,Germany,,,
2014,Chemistry,The Nobel Prize in Chemistry,for the development of super-resolved fluorescence microscopy,1/3,911,Individual,William E. Moerner,1953-06-24,"Pleasanton, CA",USA,male,Stanford University,"Stanford, CA",USA,,,
2014,Economic Sciences,The Sveriges Riksbank Prize in Economic Sciences in Memory of Alfred Nobel,for his analysis of market power and regulation,1,915,Individual,Jean Tirole,1953-08-09,Troyes,France,male,Toulouse School of Economics (TSE),Toulouse,France,,,
2014,Literature,The Nobel Prize in Literature,"for the art of memory with which he has evoked the most ungraspable human destinies and
uncovered the life-world of the occupation",1,912,Individual,Patrick Modiano,1945-07-30,Paris,France,male,,,,,,
2014,Peace,The Nobel Peace Prize,for their struggle against the suppression of children and young people and for the right of all children to education,1/2,913,Individual,Kailash Satyarthi,1954-01-11,Vidisha,India,male,,,,,,
2014,Peace,The Nobel Peace Prize,for their struggle against the suppression of children and young people and for the right of all children to education,1/2,914,Individual,Malala Yousafzai,1997-07-12,Mingora,Pakistan,female,,,,,,
2014,Physics,The Nobel Prize in Physics,for the invention of efficient blue light-emitting diodes which has enabled bright and energy-saving white light sources,1/3,907,Individual,Hiroshi Amano,1960-09-11,Hamamatsu,Japan,male,Nagoya University,Nagoya,Japan,,,
2014,Physics,The Nobel Prize in Physics,for the invention of efficient blue light-emitting diodes which has enabled bright and energy-saving white light sources,1/3,906,Individual,Isamu Akasaki,1929-01-30,Chiran,Japan,male,Meijo University,Nagoya,Japan,2021-04-01,Nagoya,Japan
2014,Physics,The Nobel Prize in Physics,for the invention of efficient blue light-emitting diodes which has enabled bright and energy-saving white light sources,1/3,908,Individual,Shuji Nakamura,1954-05-22,Ikata,Japan,male,University of California,"Santa Barbara, CA",USA,,,
2014,Physiology or Medicine,The Nobel Prize in Physiology or Medicine,for their discoveries of cells that constitute a positioning system in the brain,1/4,905,Individual,Edvard I. Moser,1962-04-27,Ålesund,Norway,male,Norwegian University of Science and Technology (NTNU),Trondheim,Norway,,,
2014,Physiology or Medicine,The Nobel Prize in Physiology or Medicine,for their discoveries of cells that constitute a positioning system in the brain,1/2,903,Individual,John O'Keefe,1939-11-18,"New York, NY",USA,male,University College,London,United Kingdom,,,
2014,Physiology or Medicine,The Nobel Prize in Physiology or Medicine,for their discoveries of cells that constitute a positioning system in the brain,1/4,904,Individual,May-Britt Moser,1963-01-04,Fosnavåg,Norway,female,Norwegian University of Science and Technology (NTNU),Trondheim,Norway,,,
2015,Chemistry,The Nobel Prize in Chemistry,for mechanistic studies of DNA repair,1/3,923,Individual,Aziz Sancar,1946-09-08,Savur,Turkey,male,University of North Carolina,"Chapel Hill, NC",USA,,,
2015,Chemistry,The Nobel Prize in Chemistry,for mechanistic studies of DNA repair,1/3,922,Individual,Paul Modrich,1946-06-13,"Raton, NM",USA,male,Howard Hughes Medical Institute,"Durham, NC",USA,,,
2015,Chemistry,The Nobel Prize in Chemistry,for mechanistic studies of DNA repair,1/3,921,Individual,Tomas Lindahl,1938-01-28,Stockholm,Sweden,male,Francis Crick Institute,Hertfordshire,United Kingdom,,,
2015,Economic Sciences,The Sveriges Riksbank Prize in Economic Sciences in Memory of Alfred Nobel,"for his analysis of consumption, poverty, and welfare",1,926,Individual,Angus Deaton,1945-10-19,Edinburgh,Scotland,male,Princeton University,"Princeton, NJ",USA,,,
2015,Literature,The Nobel Prize in Literature,"for her polyphonic writings, a monument to suffering and courage in our time",1,924,Individual,Svetlana Alexievich,1948-05-31,Ivano-Frankivsk,Ukraine,female,,,,,,
2015,Peace,The Nobel Peace Prize,for its decisive contribution to the building of a pluralistic democracy in Tunisia in the wake of the Jasmine Revolution of 2011,1,925,Organization,National Dialogue Quartet,,,Tunisia,,,,,,,
2015,Physics,The Nobel Prize in Physics,"for the discovery of neutrino oscillations, which shows that neutrinos have mass",1/2,920,Individual,Arthur B. McDonald,1943-08-29,Sydney,Canada,male,Queen's University,Kingston,Canada,,,
2015,Physics,The Nobel Prize in Physics,"for the discovery of neutrino oscillations, which shows that neutrinos have mass",1/2,919,Individual,Takaaki Kajita,1959-03-09,Higashimatsuyama,Japan,male,University of Tokyo,Kashiwa,Japan,,,
2015,Physiology or Medicine,The Nobel Prize in Physiology or Medicine,for their discoveries concerning a novel therapy against infections caused by roundworm parasites,1/4,917,Individual,Satoshi Ōmura,1935-07-12,Yamanashi Prefecture,Japan,male,Kitasato University,Tokyo,Japan,,,
2015,Physiology or Medicine,The Nobel Prize in Physiology or Medicine,for her discoveries concerning a novel therapy against Malaria,1/2,918,Individual,Tu Youyou,1930-12-30,Zhejiang Ningbo,China,female,China Academy of Traditional Chinese Medicine,Beijing,China,,,
2015,Physiology or Medicine,The Nobel Prize in Physiology or Medicine,for their discoveries concerning a novel therapy against infections caused by roundworm parasites,1/4,916,Individual,William C. Campbell,1930-06-28,Ramelton,Ireland,male,Drew University,"Madison, NJ",USA,,,
2016,Chemistry,The Nobel Prize in Chemistry,for the design and synthesis of molecular machines,1/3,933,Individual,Bernard L. Feringa,1951-05-18,Barger-Compascuum,the Netherlands,male,University of Groningen,Groningen,the Netherlands,,,
2016,Chemistry,The Nobel Prize in Chemistry,for the design and synthesis of molecular machines,1/3,931,Individual,Jean-Pierre Sauvage,1944-10-21,Paris,France,male,University of Strasbourg,Strasbourg,France,,,
2016,Chemistry,The Nobel Prize in Chemistry,for the design and synthesis of molecular machines,1/3,932,Individual,Sir J. Fraser Stoddart,1942-05-24,Edinburgh,United Kingdom,male,Northwestern University,"Evanston, IL",USA,,,
2016,Economic Sciences,The Sveriges Riksbank Prize in Economic Sciences in Memory of Alfred Nobel,for their contributions to contract theory,1/2,936,Individual,Bengt Holmström,1949-04-18,Helsinki,Finland,male,Massachusetts Institute of Technology (MIT),"Cambridge, MA",USA,,,
2016,Economic Sciences,The Sveriges Riksbank Prize in Economic Sciences in Memory of Alfred Nobel,for their contributions to contract theory,1/2,935,Individual,Oliver Hart,1948-10-09,London,United Kingdom,male,Harvard University,"Cambridge, MA",USA,,,
2016,Literature,The Nobel Prize in Literature,for having created new poetic expressions within the great American song tradition,1,937,Individual,Bob Dylan,1941-05-24,"Duluth, MN",USA,male,,,,,,
2016,Peace,The Nobel Peace Prize,for his resolute efforts to bring the country's more than 50-year-long civil war to an end,1,934,Individual,Juan Manuel Santos,1951-08-10,Bogotá,Colombia,male,,,,,,
2016,Physics,The Nobel Prize in Physics,for theoretical discoveries of topological phase transitions and topological phases of matter,1/2,928,Individual,David J. Thouless,1934-09-21,Bearsden,United Kingdom,male,University of Washington,"Seattle, WA",USA,2019-04-06,Cambridge,United Kingdom
2016,Physics,The Nobel Prize in Physics,for theoretical discoveries of topological phase transitions and topological phases of matter,1/4,929,Individual,F. Duncan M. Haldane,1951-09-14,London,United Kingdom,male,Princeton University,"Princeton, NJ",USA,,,
2016,Physics,The Nobel Prize in Physics,for theoretical discoveries of topological phase transitions and topological phases of matter,1/4,930,Individual,J. Michael Kosterlitz,1943-06-22,Aberdeen,United Kingdom,male,Brown University,"Providence, RI",USA,,,
2016,Physiology or Medicine,The Nobel Prize in Physiology or Medicine,for his discoveries of mechanisms for autophagy,1,927,Individual,Yoshinori Ohsumi,1945-02-09,Fukuoka,Japan,male,Tokyo Institute of Technology,Tokyo,Japan,,,
2017,Chemistry,The Nobel Prize in Chemistry,for developing cryo-electron microscopy for the high-resolution structure determination of biomolecules in solution,1/3,944,Individual,Jacques Dubochet,1942-06-08,Aigle,Switzerland,male,University of Lausanne,Lausanne,Switzerland,,,
2017,Chemistry,The Nobel Prize in Chemistry,for developing cryo-electron microscopy for the high-resolution structure determination of biomolecules in solution,1/3,945,Individual,Joachim Frank,1940-09-12,Siegen,Germany,male,Columbia University,"New York, NY",USA,,,
2017,Chemistry,The Nobel Prize in Chemistry,for developing cryo-electron microscopy for the high-resolution structure determination of biomolecules in solution,1/3,946,Individual,Richard Henderson,1945-07-19,Edinburgh,Scotland,male,MRC Laboratory of Molecular Biology,Cambridge,United Kingdom,,,
2017,Economic Sciences,The Sveriges Riksbank Prize in Economic Sciences in Memory of Alfred Nobel,for his contributions to behavioural economics,1,949,Individual,Richard H. Thaler,1945-09-12,"East Orange, NJ",USA,male,University of Chicago,"Chicago, IL",USA,,,
2017,Literature,The Nobel Prize in Literature,"who, in novels of great emotional force, has uncovered the abyss beneath our illusory sense of connection with the world",1,947,Individual,Kazuo Ishiguro,1954-11-08,Nagasaki,Japan,male,,,,,,
2017,Peace,The Nobel Peace Prize,for its work to draw attention to the catastrophic humanitarian consequences of any use of nuclear weapons and for its ground-breaking efforts to achieve a treaty-based prohibition of such weapons,1,948,Organization,International Campaign to Abolish Nuclear Weapons,2007-01-01,,Australia,,,,,,,
2017,Physics,The Nobel Prize in Physics,for decisive contributions to the LIGO detector and the observation of gravitational waves,1/4,942,Individual,Barry C. Barish,1936-01-27,"Omaha, NE",USA,male,LIGO/VIRGO Collaboration,,,,,
2017,Physics,The Nobel Prize in Physics,for decisive contributions to the LIGO detector and the observation of gravitational waves,1/4,943,Individual,Kip S. Thorne,1940-06-01,"Logan, UT",USA,male,LIGO/VIRGO Collaboration,,,,,
2017,Physics,The Nobel Prize in Physics,for decisive contributions to the LIGO detector and the observation of gravitational waves,1/2,941,Individual,Rainer Weiss,1932-09-29,Berlin,Germany,male,LIGO/VIRGO Collaboration,,,,,
2017,Physiology or Medicine,The Nobel Prize in Physiology or Medicine,for their discoveries of molecular mechanisms controlling the circadian rhythm,1/3,938,Individual,Jeffrey C. Hall,1945-05-03,"New York, NY",USA,male,University of Maine,"Maine, ME",USA,,,
2017,Physiology or Medicine,The Nobel Prize in Physiology or Medicine,for their discoveries of molecular mechanisms controlling the circadian rhythm,1/3,939,Individual,Michael Rosbash,1944-03-07,"Kansas City, MO",USA,male,Brandeis University,"Waltham, MA",USA,,,
2017,Physiology or Medicine,The Nobel Prize in Physiology or Medicine,for their discoveries of molecular mechanisms controlling the circadian rhythm,1/3,940,Individual,Michael W. Young,1949-03-28,"Miami, FL",USA,male,Rockefeller University,"New York, NY",USA,,,
2018,Chemistry,The Nobel Prize in Chemistry,for the directed evolution of enzymes,1/2,963,Individual,Frances H. Arnold,1956-07-25,"Pittsburgh, PA",USA,female,California Institute of Technology (Caltech),"Pasadena, CA",USA,,,
2018,Chemistry,The Nobel Prize in Chemistry,for the phage display of peptides and antibodies,1/4,964,Individual,George P. Smith,1941-03-10,"Norwalk, CT",USA,male,University of Missouri,Columbia,USA,,,
2018,Chemistry,The Nobel Prize in Chemistry,for the phage display of peptides and antibodies,1/4,965,Individual,Sir Gregory P. Winter,1951-04-14,Leicester,United Kingdom,male,MRC Laboratory of Molecular Biology,Cambridge,United Kingdom,,,
2018,Economic Sciences,The Sveriges Riksbank Prize in Economic Sciences in Memory of Alfred Nobel,for integrating technological innovations into long-run macroeconomic analysis,1/2,969,Individual,Paul M. Romer,1955-01-01,"Denver, CO",USA,male,NYU Stern School of Business,"New York, NY",USA,,,
